,dataset,seed,accuracy_score,f1_measure,execution_time,y_predict,y_true
0,filtration-join,42,0.8333333333333334,0.8332865682048143,467.26800084114075,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '2' '2' '1' '2' '2' '1' '1' '1' '2' '1' '2' '1' '2' '2' '1' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '1' '1' '2' '2' '1' '1' '1' '1' '1' '1'
 '2' '2' '2' '2' '1' '1' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '1' '1' '1' '2' '1' '1' '1']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
1,filtration-join,43,0.8535353535353535,0.853628812178035,469.6119980812073,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '1'
 '1' '1' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '1' '2'
 '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '1' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '2' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '1' '1']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
2,filtration-join,44,0.8232323232323232,0.8230564349967335,459.82799792289734,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '1' '2' '1' '2' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '1' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '1' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '2' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '2' '1' '1' '1' '1' '1' '1' '2'
 '2' '2' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
3,filtration-join,45,0.8535353535353535,0.8533896175687221,455.0729982852936,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '1' '2' '1' '2' '2' '2' '2' '1' '1' '1' '1' '2'
 '2' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '2' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '2' '2' '1' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '2' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
4,filtration-join,46,0.8333333333333334,0.833167495854063,462.1329996585846,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '2' '2' '1' '2' '2' '1' '1' '1'
 '1' '2' '1' '2' '2' '2' '1' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '1' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '2'
 '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '1' '1' '1' '2' '1' '2' '1' '2' '2' '1' '2' '2' '2'
 '2' '2' '1' '2' '2' '2' '1' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '2' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '2' '1' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
5,filtration-join,47,0.8535353535353535,0.853494256907261,468.18399691581726,"['1' '2' '2' '1' '1' '2' '1' '1' '2' '2' '1' '2' '1' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '1' '2' '1' '2' '2' '2' '2' '1' '1' '1' '1' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '2' '2' '1' '2' '1' '2' '1' '1' '2' '1' '2' '1' '2' '2' '1' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1'
 '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
6,filtration-join,48,0.8585858585858586,0.8584992784992785,483.4040033817291,"['1' '2' '2' '1' '1' '2' '1' '1' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '1' '2' '1' '2' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1' '1' '2' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '2' '2' '1' '2' '2' '1' '1' '1' '2' '1' '2' '1' '2' '2' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1'
 '2' '2' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
7,filtration-join,49,0.8585858585858586,0.8584992784992785,471.47099256515503,"['1' '2' '2' '1' '1' '2' '1' '1' '2' '2' '2' '2' '1' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '1' '2'
 '2' '2' '2' '1' '2' '1' '2' '2' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '2' '1' '2' '2' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '2' '1' '1' '1' '1' '1' '1' '1'
 '2' '2' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
8,filtration-join,50,0.8232323232323232,0.8230564349967335,479.8019971847534,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '1' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '1' '2'
 '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '2' '2' '1' '2' '2' '2' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
9,filtration-join,51,0.8585858585858586,0.8585858585858586,475.8159990310669,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '1' '2' '2' '1' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '2' '1' '1' '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '2' '2' '1' '2' '2' '1' '1' '1' '2' '1' '2' '1' '2' '2' '2' '2' '1' '2'
 '1' '2' '1' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '2' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '2' '1' '1' '2'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
