,dataset,seed,accuracy_score,f1_measure,execution_time,y_predict,y_true
0,filtration-join,42,0.8333333333333334,0.833167495854063,10.298000574111938,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '2' '2' '1' '1' '2'
 '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
1,filtration-join,43,0.8585858585858586,0.8585858585858586,10.706995010375977,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '1' '1' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '1' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
2,filtration-join,44,0.8585858585858586,0.8585858585858586,9.930001258850098,"['1' '2' '2' '1' '2' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '1' '1' '2' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '1' '1' '1' '2' '1' '2' '1' '1' '2' '1' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
3,filtration-join,45,0.8535353535353535,0.8533896175687221,9.96099853515625,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1' '2' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '2' '2' '2' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '2' '2' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
4,filtration-join,46,0.8636363636363636,0.863375323979219,9.51099419593811,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
5,filtration-join,47,0.8636363636363636,0.8636676692182649,9.464999437332153,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '1' '1' '2' '2' '1' '1' '1' '1' '1' '2' '2' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '2' '2' '2' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
6,filtration-join,48,0.8434343434343434,0.8432785567113926,9.411997318267822,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '1' '1' '2' '2' '1' '1' '1' '1' '1' '2' '2' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
7,filtration-join,49,0.8585858585858586,0.8585858585858586,10.273999452590942,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '1' '1' '2' '2' '1' '1' '1' '1' '1' '2' '2' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '1' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
8,filtration-join,50,0.8484848484848485,0.8484848484848485,9.605998992919922,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '1' '1' '1' '2' '2' '1' '1' '2'
 '2' '2' '1' '1' '2' '1' '2' '1' '1' '1' '1' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '2' '1' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '1' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
9,filtration-join,51,0.8585858585858586,0.8583837765219821,9.708001136779785,"['1' '2' '2' '1' '1' '2' '1' '2' '1' '2' '1' '2' '2' '2' '2' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '2' '2' '2' '2' '1' '2' '1' '1' '2'
 '2' '2' '2' '2' '1' '1' '2' '2' '1' '1' '1' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '2' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '2' '1' '1' '1' '2' '2' '1'
 '1' '2' '1' '2' '2' '2' '1' '1' '2' '1' '2' '1' '1' '2' '2' '2' '2' '2'
 '1' '2' '1' '2' '2' '2' '2' '2' '1' '1' '1' '2' '1' '1' '2' '2' '1' '1'
 '2' '2' '2' '2' '1' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '1' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1' '2' '2']","['1' '2' '2' '1' '1' '1' '1' '2' '1' '2' '1' '1' '1' '2' '2' '1' '1' '1'
 '1' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '2' '2' '1' '1' '1' '1' '2'
 '1' '2' '2' '1' '2' '1' '2' '2' '1' '1' '2' '1' '1' '2' '1' '1' '1' '2'
 '2' '2' '1' '1' '1' '1' '1' '1' '2' '2' '2' '1' '2' '2' '1' '2' '2' '1'
 '2' '2' '2' '2' '2' '1' '2' '2' '1' '2' '2' '2' '1' '1' '1' '1' '2' '1'
 '1' '2' '1' '2' '1' '1' '1' '1' '2' '1' '1' '1' '2' '2' '1' '2' '1' '1'
 '1' '2' '1' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '2' '1' '1'
 '2' '1' '2' '2' '1' '2' '1' '1' '2' '1' '1' '1' '1' '1' '1' '1' '1' '1'
 '2' '1' '2' '2' '1' '1' '2' '2' '2' '2' '2' '1' '1' '2' '1' '1' '2' '1'
 '1' '2' '2' '1' '1' '1' '2' '2' '1' '1' '2' '2' '1' '1' '2' '1' '1' '1'
 '1' '1' '2' '2' '2' '2' '2' '2' '2' '1' '2' '2' '1' '1' '2' '1' '2' '2']"
