dataType,function1,snapshot1,function2,snapshot2,euclidean,dtw-python-distance,dtw-python-normalizedDistance,dtaidistance,lcss_similarity,is_normalized,is_smoothed,size1,size2,udf1,udf2
CPU,aggregation,0,aggregation,0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
RAM,aggregation,0,aggregation,0,0.0,0.0,0.0,0.0,1.0,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
CPU,aggregation,0,aggregation,5,949.1512735070211,4444.599999999997,3.919400352733683,342.5778013824012,0.8024691358024691,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
RAM,aggregation,0,aggregation,5,12.602380727465748,23.5,0.02072310405643739,8.254089895318563,0.9894179894179894,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
CPU,aggregation,0,aggregation,150,901.9858313743072,4627.399999999997,4.1095914742451125,368.19080651205826,0.7939609236234458,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgWholeSaleCostGroupedBySoldDate
RAM,aggregation,0,aggregation,150,17.935439777156294,138.3000000000014,0.12282415630550747,7.727871634544674,0.9928952042628775,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgWholeSaleCostGroupedBySoldDate
CPU,aggregation,0,filtration,0,1165.6705151971546,4270.099999999995,3.792273534635875,384.7450324565607,0.7690941385435168,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegative
RAM,aggregation,0,filtration,0,205.66399782168975,1866.799999999985,1.6579040852575355,84.14796491894536,0.261101243339254,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegative
CPU,aggregation,0,filtration-aggregation,0,1234.1957057128338,4468.599999999996,3.214820143884889,383.0038772649697,0.8129496402877698,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereProfitNegative
RAM,aggregation,0,filtration-aggregation,0,137.44213327797266,1734.0000000000027,1.2474820143884913,72.29142411102437,0.22014388489208633,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereProfitNegative
CPU,aggregation,0,filtration-aggregation-join,0,1085.8116549383692,6654.199999999996,5.198593749999997,465.588906654788,0.7,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereYearAfter2000
RAM,aggregation,0,filtration-aggregation-join,0,106.04400030176151,1509.500000000005,1.179296875000004,65.11343947296905,0.1046875,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereYearAfter2000
CPU,aggregation,0,filtration-join,0,1049.2555646743076,4805.399999999994,4.267673179396088,364.351533549675,0.7655417406749556,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegativeAndYearAfter2000
RAM,aggregation,0,filtration-join,0,193.5827471651335,1698.4999999999893,1.5084369449378237,79.0931096872543,0.3410301953818828,0,0,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegativeAndYearAfter2000
CPU,aggregation,0,aggregation,0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
RAM,aggregation,0,aggregation,0,0.0,0.0,0.0,0.0,1.0,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
CPU,aggregation,0,aggregation,5,949.1512735070211,4444.599999999997,3.919400352733683,342.5778013824012,0.8024691358024691,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
RAM,aggregation,0,aggregation,5,12.602380727465748,23.5,0.02072310405643739,8.254089895318563,0.9894179894179894,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
CPU,aggregation,0,aggregation,150,901.9858313743072,4627.399999999997,4.1095914742451125,368.19080651205826,0.7939609236234458,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgWholeSaleCostGroupedBySoldDate
RAM,aggregation,0,aggregation,150,17.935439777156294,138.3000000000014,0.12282415630550747,7.727871634544674,0.9928952042628775,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgWholeSaleCostGroupedBySoldDate
CPU,aggregation,0,filtration,0,1165.6705151971546,4270.099999999995,3.792273534635875,384.7450324565607,0.7690941385435168,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegative
RAM,aggregation,0,filtration,0,205.66399782168975,1866.799999999985,1.6579040852575355,84.14796491894536,0.261101243339254,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegative
CPU,aggregation,0,filtration-aggregation,0,1234.1957057128338,4468.599999999996,3.214820143884889,383.0038772649697,0.8129496402877698,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereProfitNegative
RAM,aggregation,0,filtration-aggregation,0,137.44213327797266,1734.0000000000027,1.2474820143884913,72.29142411102437,0.22014388489208633,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereProfitNegative
CPU,aggregation,0,filtration-aggregation-join,0,1085.8116549383692,6654.199999999996,5.198593749999997,465.588906654788,0.7,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereYearAfter2000
RAM,aggregation,0,filtration-aggregation-join,0,106.04400030176151,1509.500000000005,1.179296875000004,65.11343947296905,0.1046875,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDateWhereYearAfter2000
CPU,aggregation,0,filtration-join,0,1049.2555646743076,4805.399999999994,4.267673179396088,364.351533549675,0.7655417406749556,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegativeAndYearAfter2000
RAM,aggregation,0,filtration-join,0,193.5827471651335,1698.4999999999893,1.5084369449378237,79.0931096872543,0.3410301953818828,0,1,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegativeAndYearAfter2000
CPU,aggregation,0,aggregation,0,0.0,0.0,0.0,0.0,1.0,1,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
RAM,aggregation,0,aggregation,0,0.0,0.0,0.0,0.0,1.0,1,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
CPU,aggregation,0,aggregation,5,949.1512735070211,4444.599999999997,3.919400352733683,342.5778013824012,0.8024691358024691,1,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
RAM,aggregation,0,aggregation,5,12.602380727465748,23.5,0.02072310405643739,8.254089895318563,0.9894179894179894,1,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgNetProfitGroupedBySoldDate
CPU,aggregation,0,aggregation,150,901.9858313743072,4627.399999999997,4.1095914742451125,368.19080651205826,0.7939609236234458,1,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgWholeSaleCostGroupedBySoldDate
RAM,aggregation,0,aggregation,150,17.935439777156294,138.3000000000014,0.12282415630550747,7.727871634544674,0.9928952042628775,1,0,1.0,1.0,avgNetProfitGroupedBySoldDate,avgWholeSaleCostGroupedBySoldDate
CPU,aggregation,0,filtration,0,1165.6705151971546,4270.099999999995,3.792273534635875,384.7450324565607,0.7690941385435168,1,0,1.0,1.0,avgNetProfitGroupedBySoldDate,filterCatalogSalesWhereProfitNegative
